variable,Label,Options
v2_01,What is your name?,-1: [Redacted]
v2_03,"Besides Nepali, what other languages do you speak fluently?","1 : Maithili 
2 : Bhojpuri 
3 : Tharu 
4 : Tamang 
5 : Newari/Nepal Bhasa 
6 : Rai 
7 : Magar 
8 : No other languages 
-44 : Others (specify)"
v2_03_oth,Others [specify],
v2_04c,Mention Name of District,"69 : ACHHAM
49 : ARGHAKHANCHI
37 : BAGLUNG
70 : BAITADI
71 : BAJHANG
72 : BAJURA
50 : BANKE
15 : BARA
51 : BARDIYA
35 : BHAKTAPUR
2 : BHOJPUR
23 : CHITWAN
73 : DADELDHURA
59 : DAILEKH
52 : DANG
74 : DARCHULA
24 : DHADING
3 : DHANKUTA
22 : DHANUSHA
25 : DOLAKHA
60 : DOLPA
75 : DOTI
38 : GORKHA
53 : GULMI
61 : HUMLA
1 : ILAM
62 : JAJARKOT
4 : JHAPA
63 : JUMLA
76 : KAILALI
64 : KALIKOT
77 : KANCHANPUR
47 : KAPILVASTU
39 : KASKI
26 : KATHMANDU
32 : KAVREPALANCHOK
5 : KHOTANG
27 : LALITPUR
40 : LAMJUNG
16 : MAHOTTARI
34 : MAKWANPUR
41 : MANANG
6 : MORANG
65 : MUGU
42 : MUSTANG
43 : MYAGDI
36 : NAWALPUR
28 : NUWAKOT
7 : OKHALDHUNGA
54 : PALPA
8 : PANCHTHAR
48 : PARASI
44 : PARBAT
17 : PARSA
55 : PYUTHAN
29 : RAMECHHAP
30 : RASUWA
18 : RAUTAHAT
56 : ROLPA
58 : RUKUM EASTERN
68 : RUKUM WESTERN
57 : RUPANDEHI
66 : SALYAN
9 : SANKHUWASABHA
19 : SAPTARI
20 : SARLAHI
31 : SINDHULI
33 : SINDHUPALCHOK
21 : SIRAHA
10 : SOLUKHUMBU
11 : SUNSARI
67 : SURKHET
45 : SYANGJA
46 : TANAHUN
12 : TAPLEJUNG
14 : TERHATHUM
13 : UDAYAPUR
8888 : DON'T KNOW"
location_note,"Please mention your location (ward,municipality)",-1: [Redacted]
v2_04b,Mention Name of the Rural Municipality,-1: [Redacted]
v2_04a,Mention ward number,-1: [Redacted]
v2_06,How long have you worked as an FCHV ?,
v2_06_years,Years,
v2_06_months,Months,
QQ1,What are some of the Covid symptoms?,"1 : Cough
2 : Fever / Headache
3 : Loss of smell and taste
4 : Fatigue
5 : Loss of appetite
6 : Chest pain
7 : Out of breath/ Difficulty breathing
8 : Vomiting
9 : dizziness
-44 : Others (specify)
8888 : Don’t know
9999 : Did not respond"
QQ1_oth,Others (specify),
QQ2,How do you prevent the spread of the Covid?,"1 : By wearing mask 
2 : Well ventilating the room 
3 : Washing hands frequently 
4 : Not coming in close contact with infected people 
5 : Maintain 2 meters distance or more 
6 : Not organizing big festivals/ rituals/ crowd - Not attending 
7 : Hygiene 
8 : Drink boiled/herbal water 
9 : Nutritious diet 
10 : Quarantine of people coming from outside 
-44 : Others (specify) 
8888 : Don’t know 
9999 : Did not respond"
QQ2_oth,Others (specify),
QQ3,How should someone infected with Covid be taken care of?,"1 : Drink jeewan jal/ ORS 
2 : Drink hot water 
3 : Eat nutritious food 
4 : Drink boiled/herbal water 
5 : Monitor temperature 
6 : Monitor oxygen level 
7 : Take paracetamol/Niko 
8 : Take to hospital/isolation center/quarantine 
9 : home/self isolation or quarantine 
-44 : Others (specify) 
8888 : Don’t know 
9999 : Did not respond"
QQ3_oth,Others (specify),
QQ4,How many types of testing are there to detect Covid infection?,"1 : PCR testing 
2 : Antigen/Rapid testing 
3 : Antibody testing (previous infection. blood test) 
4 : Know tests exist, don’t know the name 
8888 : Don’t know"
QQ4_oth,Others (specify),
QQ5,Have you received formal training about Covid?,"1 : YES
0 : NO
8888 : Don’t know
9999 : Did not respond"
QQ5a,When was the last time you received that training on covid?,"1 : Within last three months 
2 : Between three to six months 
3 : Between six months to year 
4 : More than 1 year ago 
5 : Date"
QQ5a_date,What date was the training,
QQ5b,What did you learn during your training?,"1 : Covid symptoms 
2 : How to take care of a Covid patient 
3 : How to reduce spread of covid in the community 
4 : Who should go for testing 
5 : Who should be vaccinated 
6 : Side effects of vaccine 
-44 : Others (specify) 
8888 : Don’t know 
9999 : Did not respond"
