SubmissionDate,duration,caseid,enumname,v2_03,v2_03_1,v2_03_2,v2_03_3,v2_03_4,v2_03_5,v2_03_6,v2_03_7,v2_03_8,v2_03__44,v2_03_oth,v2_04c,v2_04b,v2_04a,v2_06_years,v2_06_months,QQ1,QQ1_1,QQ1_2,QQ1_3,QQ1_4,QQ1_5,QQ1_6,QQ1_7,QQ1_8,QQ1_9,QQ1__44,QQ1_8888,QQ1_9999,QQ1_oth,QQ2,QQ2_1,QQ2_2,QQ2_3,QQ2_4,QQ2_5,QQ2_6,QQ2_7,QQ2_8,QQ2_9,QQ2_10,QQ2__44,QQ2_8888,QQ2_9999,QQ2_oth,QQ3,QQ3_1,QQ3_2,QQ3_3,QQ3_4,QQ3_5,QQ3_6,QQ3_7,QQ3_8,QQ3_9,QQ3__44,QQ3_8888,QQ3_9999,QQ3_oth,QQ4,QQ4_1,QQ4_2,QQ4_3,QQ4_4,QQ4_8888,QQ4_oth,QQ5,QQ5a,QQ5a_date,QQ5b,QQ5b_1,QQ5b_2,QQ5b_3,QQ5b_4,QQ5b_5,QQ5b_6,QQ5b__44,QQ5b_8888,QQ5b_9999,QQ5b_oth,QQ5c,QQ5c_1,QQ5c_2,QQ5c_3,QQ5c_4,QQ5c_5,QQ5c_6,QQ5c__44,QQ5c_8888,QQ5c_9999,QQ5c_oth,QQ5c_1,QQ5c_2,v3_04,v3_04_1,v3_04_2,v3_04_3,v3_04_4,v3_04_5,v3_04_6,v3_04_7,v3_04__44,v3_04_8888,v3_04_9999,v3_04_8,v3_04_oth,QQ6,QQ6_1,QQ6_2,QQ6_3,QQ6_4,QQ6_5,QQ6_6,QQ6_7,QQ6_8,QQ6_9,QQ6_10,QQ6_11,QQ6_12,QQ6__44,QQ6_8888,QQ6_9999,QQ6_oth,QQ_comments,v4_10a,v4_10a_add,v5_05,v5_05_oth,v5_07,v5_07_1,v5_07_2,v5_07_3,v5_07_4,v5_07_5,v5_07_6,v5_07_7,v5_07__44,v5_07_8888,v5_07_9999,v5_07_oth,v5_09,v5_09_1,v5_09_2,v5_09_3,v5_09_4,v5_09_5,v5_09_6,v5_09_7,v5_09_8,v5_09_9,v5_09__44,v5_09_8888,v5_09_9999,v5_09_oth,v5_10,v5_10_1,v5_10_2,v5_10_3,v5_10_4,v5_10__44,v5_10_8888,v5_10_9999,v5_10_oth,v5_comments,v4_11a,v4_11b,v4_11b_1,v4_11b_2,v4_11b_3,v4_11b_4,v4_11b_5,v4_11b_6,v4_11b__44,v4_11b_8888,v4_11b_9999,v4_11b_oth,v4_13c,v4_13c_1,v4_13c_2,v4_13c_3,v4_13c_4,v4_13c_8888,v4_13c_9999,v4_13a,v4_13d_yn,v4_13d_mins,v4_13d_hours,v4_13d_days,v4_13b_yn,v4_13b,v4_13e,v4_13f_yn,v4_13f_mins,v4_13f_hours,v4_13f_days,v4_03,v4_03_1,v4_03_2,v4_03_3,v4_03_4,v4_03_5,v4_03_6,v4_03_7,v4_03__44,v4_03_8888,v4_03_9999,v4_03_oth,v4_03a,v4_04,v4_04_1,v4_04_2,v4_04_3,v4_04__44,v4_04_8888,v4_04_9999,v4_04_oth,v4_07,v4_07_1,v4_07_2,v4_07_3,v4_07_4,v4_07_5,v4_07_6,v4_07_7,v4_07__44,v4_07_8888,v4_07_9999,v4_07_oth,v4_comments,v3_01a,v3_01b,v3_01b_1,v3_01b_2,v3_01b_3,v3_01b_4,v3_01b__44,v3_01b_8888,v3_01b_9999,v3_01b_oth,v3_02a,v3_02,v3_05,v3_05_1,v3_05_2,v3_05_3,v3_05_4,v3_05__44,v3_05_8888,v3_05_9999,v3_05_5,v3_05_oth,v3_06,v3_06_1,v3_06_2,v3_06_3,v3_06_4,v3_06_5,v3_06_8888,v3_06__44,v3_06_9999,v3_06_oth,v3_07,v3_07_1,v3_07_2,v3_07_3,v3_07_4,v3_07_5,v3_07_6,v3_07_7,v3_07_8,v3_07_9,v3_07_10,v3_07_11,v3_07_12,v3_07__44,v3_07_8888,v3_07_9999,v3_07_oth,v3_comments,v4_01,v4_01_1,v4_01_2,v4_01_3,v4_01_4,v4_01_5,v4_01_6,v4_01_7,v4_01_8,v4_01_9,v4_01__44,v4_01_8888,v4_01_9999,v4_01_oth,v4_08a,v4_08b,v4_08b_1,v4_08b_2,v4_08b_3,v4_08b_4,v4_08b_5,v4_08b__44,v4_08b_8888,v4_08b_9999,v4_08b_oth,v4_09,v4_09_oth,v4_12a,v4_12b,v4_12b_1,v4_12b_2,v4_12b_3,v4_12b_4,v4_12b_5,v4_12b_6,v4_12b__44,v4_12b_8888,v4_12b_9999,v4_12b_oth,v5_03,v5_03_1,v5_03_2,v5_03_0,v5_03__44,v5_03_oth,v5_06,v5_06_1,v5_06_2,v5_06_3,v5_06_4,v5_06_5,v5_06_6,v5_06__44,v5_06_8888,v5_06_9999,v5_06_oth,v5_04,v5_04_1,v5_04_2,v5_04_3,v5_04_4,v5_04_5,v5_04_6,v5_04_7,v5_04_8,v5_04_9,v5_04_10,v5_04__44,v5_04_8888,v5_04_9999,v5_04_oth,endinfo_2,endinfo_3,endinfo_3a,askinfo,info_count,askinfo_loop_count,endinfo_comment
6/23/21 9:01,2308,9620,-1,-44,0,0,0,0,0,0,0,0,1,gurung,40,-1,-1,28,,1 2 3 5 9 -44,1,1,1,0,1,0,0,0,1,1,0,0,Tears,1 3 7 8,1,0,1,0,0,0,1,1,0,0,0,0,0,,8,0,0,0,0,0,0,0,1,0,0,0,0,,4,0,0,0,1,0,,1,4,,2 3,0,1,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,,,,4 5 6,0,0,0,1,1,1,0,0,0,0,0,,1 8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,No,3,,3,,5 6,0,0,0,0,1,1,0,0,0,0,,9,0,0,0,0,0,0,0,0,1,0,0,0,,3,0,0,1,0,0,0,0,,No,1,,,,,,,,,,,,1,1,0,0,0,0,0,3,1,,,7,1,2,,8888,,,,1,1,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,,6,0,0,0,0,0,1,0,0,0,0,,Some people are ignorant but i try to convince.,0,2,0,1,0,0,0,0,0,,4,2,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,I tell people that vaccine is safe.,6 9,0,0,0,0,0,1,0,0,1,0,0,0,,0,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,1,0,,2,0,1,0,0,0,0,0,0,0,,2 9,0,1,0,0,0,0,0,0,1,0,0,0,0,,-1,-1,-1,-1,-1,-1,"She was a simple woman from gurung community, she said she doesnt even know Nepali language fluently but she tried her best. She was repeatedly saying that there is no any Health post/service in or near their locality, they have to travel 2,3 hours for Covid related issues."
6/23/21 9:23,1985,11866,-1,8,0,0,0,0,0,0,0,1,0,,55,-1,-1,1,6,1 2 6 9 -44,1,1,0,0,0,1,0,0,1,1,0,0,"Eye infection, diarrhea",1 2 7 9,1,1,0,0,0,0,1,0,1,0,0,0,0,,1 2 7 8 -44,1,1,0,0,0,0,1,1,0,1,0,0,Wear mask,1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,0,0,0,0,0,0,0,1,0,0,0,Old age should take,1 6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,3,,-44,Thikai hunubhuncha,-44,0,0,0,0,0,0,0,1,0,0,"Fever management, isolation management",9,0,0,0,0,0,0,0,0,1,0,0,0,,-44,0,0,0,0,1,0,0,"Blood check, isiolation center",,1,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,,,,1,1,,8888,,,,-44,0,0,0,0,0,0,0,1,0,0,,1,1,1,0,0,0,0,0,,-44,0,0,0,0,0,0,0,1,0,0,Police help,,1,,,,,,,,,,5,2,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,Jan-44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nepal sarkar,,-44,0,0,0,0,0,0,0,0,0,1,0,0,Not so much.. no cases such,0,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,1,0,,-44,0,0,0,0,0,0,1,0,0,"Yesto garnu parcha, baeastha milaune",Jan-44,1,0,0,0,0,0,0,0,0,0,1,0,0,Family issues,-1,-1,-1,-1,-1,-1,She said blood test which is not in option and there is no option of others
6/23/21 9:24,3000,5619,-1,8,0,0,0,0,0,0,0,1,0,,25,-1,-1,24,,1 2 9 -44,1,1,0,0,0,0,0,0,1,1,0,0,Loss of appetite,1 4 5 7,1,0,0,1,1,0,1,0,0,0,0,0,0,,2 8 -44,0,1,0,0,0,0,0,1,0,1,0,0,Distance maintaince,4,0,0,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Jun-44,0,0,0,0,0,1,0,1,0,0,0,Medication ani dirga rogi vayeko,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,1,,3,,5 6 -44,0,0,0,0,1,1,0,1,0,0,Isolation distance maintaince,9,0,0,0,0,0,0,0,0,1,0,0,0,,3,0,0,1,0,0,0,0,,No,1,,,,,,,,,,,,8888,0,0,0,0,1,0,,,,,,,,,,,,,1 3,1,0,1,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,,6,0,0,0,0,0,1,0,0,0,0,,No,1,,,,,,,,,,4,1,1 4,1,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,No,8888,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,,,,,,,,2,,0,,,,,,,,,,,,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,Fchw stopped survey in middle
6/23/21 9:44,1836,14052,-1,8,0,0,0,0,0,0,0,1,0,,33,-1,-1,22,,1 2 3 4 6,1,1,1,1,0,1,0,0,0,0,0,0,,1 3 5 6,1,0,1,0,1,1,0,0,0,0,0,0,0,,2 3,0,1,1,0,0,0,0,0,0,0,0,0,,4,0,0,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1 2 5 6 7,1,1,0,0,1,1,1,0,0,0,0,,1 5 6 8,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,They should get trainings.,4,,3,,Apr-44,0,0,0,1,0,0,0,1,0,0,Don't go to gathering,4 6,0,0,0,1,0,1,0,0,0,0,0,0,,9999,0,0,0,0,0,0,1,,No,1,,,,,,,,,,,,1 2,1,1,0,0,0,0,1,1,,,3,1,5,1,1,10,,,1,1,0,0,0,0,0,0,0,0,0,,1,-44,0,0,0,1,0,0,Health post,6,0,0,0,0,0,1,0,0,0,0,,No,1,,,,,,,,,,0,1,1,1,0,0,0,0,0,0,0,,1 2,1,1,0,0,0,0,0,0,,1 6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,No,8888,0,0,0,0,0,0,0,0,0,0,1,0,,8888,,,,,,,,,,,2,,0,,,,,,,,,,,,0,0,0,1,0,,-44,0,0,0,0,0,0,1,0,0,Janachetana,10,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,-1,-1,-1,-1,-1,No
6/23/21 9:45,1321,14771,-1,7,0,0,0,0,0,0,1,0,0,,67,-1,-1,14,,2 7,0,1,0,0,0,0,1,0,0,0,0,0,,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,,3,0,0,1,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6 7,0,0,0,0,0,1,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,2,,5 6,0,0,0,0,1,1,0,0,0,0,,5,0,0,0,0,1,0,0,0,0,0,0,0,,-44,0,0,0,0,1,0,0,Talaim haru,,1,,,,,,,,,,,,1,1,0,0,0,0,0,3,0,,,,0,,,0,,,,1,1,0,0,0,0,0,0,0,0,0,,1,2,0,1,0,0,0,0,,3,0,0,1,0,0,0,0,0,0,0,,,1,,,,,,,,,,2,1,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,,,,,,,,,0,,0,,,,,,,,,,,,0,0,0,1,0,,1 2,1,1,0,0,0,0,0,0,0,,1 2 9,1,1,0,0,0,0,0,0,1,0,0,0,0,,-1,-1,-1,-1,-1,-1,No one.
6/23/21 9:46,2617,10320,-1,8,0,0,0,0,0,0,0,1,0,,28,-1,-1,20,,1 2 8 -44,1,1,0,0,0,0,0,1,0,1,0,0,"Dairrhea,",1 3 5 6 -44,1,0,1,0,1,1,0,0,0,0,1,0,0,"Use of sanitizer, changing cloth after coming from outside and taking bath",-44,0,0,0,0,0,0,0,0,0,1,0,0,"Use of mask, taking care of patient from a distance",1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2 6 7,0,1,0,0,0,1,1,0,0,0,0,,May-44,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Urban health clinic ward-2, Nuwakot",,3,,2,,-44,0,0,0,0,0,0,0,1,0,0,No meeting after 2nd wave,-44,0,0,0,0,0,0,0,0,0,1,0,0,"After 2nd wave, due to postnatal period, household work, have not gone outside.",3,0,0,1,0,0,0,0,,"We don't know much about 2nd wave of COVID-19, no training available.",1,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,,,,1,2,,0,,,,1,1,0,0,0,0,0,0,0,0,0,,0,8888,0,0,0,0,1,0,,6,0,0,0,0,0,1,0,0,0,0,,,1,,,,,,,,,,3,1,-44,0,0,0,0,1,0,0,0,At first people were reluctant to be vaccinated but now they want to be vaccinated.,Jan-44,1,0,0,0,0,0,1,0,What will happen and not happen after getting vaccine?,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,0,0,0,0,0,0,1,0,0,0,0,0,,0,,,,,,,,,,,2,,0,,,,,,,,,,,,0,0,0,1,0,,3,0,0,1,0,0,0,0,0,0,,1 2 -44,1,1,0,0,0,0,0,0,0,0,1,0,0,"If lockdown opens then risk in health, if not then money problem.",-1,-1,-1,-1,-1,-1,
6/23/21 9:54,2039,3415,-1,8,0,0,0,0,0,0,0,1,0,,2,-1,-1,14,,3 4 7 9,0,0,1,1,0,0,1,0,1,0,0,0,,3 7 8 9 -44,0,0,1,0,0,0,1,1,1,0,1,0,0,baaf line,8,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4 5 -44,0,0,0,1,1,0,0,1,0,0,0,anyone on medication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Training paye hunthyo.,3,,2,,-44,0,0,0,0,0,0,0,1,0,0,Provide knowledge to the people,3,0,0,1,0,0,0,0,0,0,0,0,0,,-44,0,0,0,0,1,0,0,it will be good if we are provided with vaccine.,Main issue: vaccines,1,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,,,,1,1,,1,30,,,1,1,0,0,0,0,0,0,0,0,0,,1,2,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,,no,1,,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,,2,0,1,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,2 6 7,0,1,0,0,0,1,1,0,0,0,0,0,,0,,,,,,,,,,,-44,"we have aama samuha, we provide ambulance.",1,8888,0,0,0,0,0,0,0,1,0,,0,0,0,1,0,,6,0,0,0,0,0,1,0,0,0,,10,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,-1,-1,-1,-1,-1,She was consistently mentioning about vaccines.
6/23/21 9:58,2898,2727,-1,8,0,0,0,0,0,0,0,1,0,,50,-1,-1,12,,2 7 -44,0,1,0,0,0,0,1,0,0,1,0,0,"Rugha lagney, jhadapakhala lagney",1 6 8 -44,1,0,0,0,0,1,0,1,0,0,1,0,0,Aruko Ghar ma najaney,-44,0,0,0,0,0,0,0,0,0,1,0,0,"Home quarantine ma basney, Kotha bata bahira naniskiney, mask lagauney, Sabun Pani le haat dhuney",1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2 6,0,1,0,0,0,1,0,0,0,0,0,,1 5 7 10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,"Covid ko karyakram auda fchv lai inform nagareko, party gaat rup ma Janey gareko, ward le nahereko",4,,1,,-44,0,0,0,0,0,0,0,1,0,0,Vaccine lagauna janakari payeko,1 2 -44,1,1,0,0,0,0,0,0,0,1,0,0,"Sanitizer chahiyo, sabaiko arthik awastha ramro hudaina",Jan-44,1,0,0,0,1,0,0,Kasari sikauney vanney training  nabhayeko,Kendra ma gunaso rakhna napayeko,1,,,,,,,,,,,,1,1,0,0,0,0,0,1,0,,,,1,1,,0,,,,1,1,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,,3,0,0,1,0,0,0,0,0,0,0,,Kehi chaina,1,,,,,,,,,,3,1,1,1,0,0,0,0,0,0,0,,-44,0,0,0,0,0,0,1,0,Hamiley Kailey lagauna pauney vanera gunaso garnu hunxa,1 8 10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,Corona ko vaccine pratyak ward ma diyeko vaye kaam garna sajilo huntheo,2 6,0,1,0,0,0,1,0,0,0,0,0,0,,0,,,,,,,,,,,2,,1,2 3,0,1,1,0,0,0,0,0,0,,0,0,0,1,0,,3,0,0,1,0,0,0,0,0,0,,1 2 5 -44,1,1,0,0,1,0,0,0,0,0,1,0,0,Manasik tanab bhayeko,-1,-1,-1,-1,-1,-1,Nothing to write.
6/23/21 10:19,1301,5066,-1,8,0,0,0,0,0,0,0,1,0,,24,-1,-1,8,,1 2 7,1,1,0,0,0,0,1,0,0,0,0,0,,1 3 5,1,0,1,0,1,0,0,0,0,0,0,0,0,,Mar-44,0,0,1,0,0,0,0,0,0,1,0,0,Keep isoslated,1 2,1,1,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5 6 -44,0,0,0,0,1,1,0,1,0,0,0,Planning for baby,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,3,,3,,3 4 5,0,0,1,1,1,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,,No,1,,,,,,,,,,,,2,0,1,0,0,0,0,,,,,,,,1,,,,,1,1,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,,3 6,0,0,1,0,0,1,0,0,0,0,,No,1,,,,,,,,,,2,2,1 4,1,0,0,1,0,0,0,0,,8888,0,0,0,0,0,1,0,0,,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,All should get the vaccine,8888,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,,,,,,,,2,,0,,,,,,,,,,,,0,0,0,1,0,,-44,0,0,0,0,0,0,1,0,0,Fulfill all responsibility provide by health post,10,0,0,0,0,0,0,0,0,0,1,0,0,0,,-1,-1,-1,-1,-1,-1,No
6/23/21 10:26,1433,10327,-1,4,0,0,0,1,0,0,0,0,0,,28,-1,-1,2,,1 2 3 7,1,1,1,0,0,0,1,0,0,0,0,0,,1 3 5 10,1,0,1,0,1,0,0,0,0,1,0,0,0,,8,0,0,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0,1,0,0,0,0,0,,1 5 6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,4,,2,,5 6,0,0,0,0,1,1,0,0,0,0,,9,0,0,0,0,0,0,0,0,1,0,0,0,,1 2 3,1,1,1,0,0,0,0,,"Gadi audaina ali subida bhye hune .

Oxygen haru paye ramaro",1,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,15,,,1,1,,0,,,,1,1,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,,4 5,0,0,0,1,1,0,0,0,0,0,,isolation chutai banaidinu bhyo bhne ramaro huntheyo .,2,,,,,,,,,,7,7,1,1,0,0,0,0,0,0,0,,1 2,1,1,0,0,0,0,0,0,,1 5 6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,Khop sbai lai launa paye huntheyo jsto lagx,2 3 6,0,1,1,0,0,1,0,0,0,0,0,0,,0,,,,,,,,,,,1,,0,,,,,,,,,,,,0,0,0,1,0,,1 3,1,0,1,0,0,0,0,0,0,,1 2 3 5,1,1,1,0,1,0,0,0,0,0,0,0,0,,-1,-1,-1,-1,-1,-1,No
